"19961216_0909_000"
"19961214_0018_000"
"19961125_1947_001"
"19961125_1947_000"
"19961110_2323_000"
"19961027_0610_000"
"19961020_1906_000"
"19961016_0024_000"
"19961015_1218_000"
"19961015_1019_000"
"19961015_0955_000"
"19960715_0013_000"
"19960711_1909_000"
"19960710_1025_000"
"19960709_1023_000"
"19960628_0957_000"
"19960603_0432_000"
"19960601_1228_000"
"19960427_0038_000"
"19960425_1813_000"
"19960413_1300_000"
"19960403_1304_000"
"19960331_0608_000"
"19960227_1113_000"
"19960225_0119_000"
"19960215_0543_000"
"19960121_1217_000"
"19960101_1221_000"
"19951231_2129_000"
"19951230_1522_000"
"19951229_0014_000"
"19951228_2211_000"
"19951209_2314_000"
